,avg_fitness,best_fitness,avg_size,best_individual
0,3512038583.9003873,2991206.9881766434,11.03008,(((15.47357555743854/3.0823296589499147)*-0.818605519169088)+((Y-(7.719507477181947-(13.0909180507964--1.2875667087938618)))*(5.9620100303685675*(-3.6736225666874534+(X/1.5632606363038333)))))
1,32693599.751299918,2266180.329194919,11.99598,(((16.415288404600467*-4.049688360620275)-(13.044625671629632*(((1.1690693040981763--1.2875667087938618)+((((7.625604495540918*5.0418238305941845)-(Y*-3.6504410549639386))-(15.47357555743854+10.640664871770914))-(-2.0241629820356812+12.48618583430008)))/(12.48618583430008--0.37818009777050055))))*((((1.4049139404701867/10.495320111233674)*(1.1690693040981763+-0.7017827415572828))+(8.443426670422465-0.4744930977610071))-X))
2,53355450.956759736,2180044.087960162,15.3259,(((16.415288404600467*-4.049688360620275)-(13.044625671629632*(((1.1690693040981763--1.2875667087938618)+((((7.625604495540918*5.0418238305941845)-(Y*-3.6504410549639386))-(15.47357555743854+10.640664871770914))-(-2.0241629820356812+12.48618583430008)))/(12.48618583430008--0.37818009777050055))))*((((1.4049139404701867/10.495320111233674)*(1.1690693040981763+-0.7017827415572828))+(8.443426670422465-0.09309433222330377))-X))
3,130909587.08980171,2180044.087960162,18.96532,(((16.415288404600467*-4.049688360620275)-(13.044625671629632*(((1.1690693040981763--1.2875667087938618)+((((7.625604495540918*5.0418238305941845)-(Y*-3.6504410549639386))-(15.47357555743854+10.640664871770914))-(-2.0241629820356812+12.48618583430008)))/(12.48618583430008--0.37818009777050055))))*((((1.4049139404701867/10.495320111233674)*(1.1690693040981763+-0.7017827415572828))+(8.443426670422465-0.09309433222330377))-X))
4,248178404.08122808,1892741.2245595083,21.99564,((0.12688145891787173*((X+(1.6156933457976237*Y))*(X/(5.9620100303685675/16.66118253332489))))*4.160081296964757)
5,1580001524.3367,1892741.2245595083,25.02812,((0.12688145891787173*((X+(1.6156933457976237*Y))*(X/(5.9620100303685675/16.66118253332489))))*4.160081296964757)
6,14573035409.744907,1835993.137386534,27.76392,(((16.415288404600467*-4.049688360620275)-(12.158528925714247*(((1.1690693040981763--1.2875667087938618)+((((7.625604495540918*5.0418238305941845)-(Y*-3.6504410549639386))-(15.47357555743854+10.640664871770914))-(-2.0241629820356812+12.48618583430008)))/(12.48618583430008--0.37818009777050055))))*((((11.27400065084597/10.495320111233674)*(1.1690693040981763+-0.7017827415572828))+(8.443426670422465-0.09309433222330377))-X))
7,3662857250.1001368,1835993.137386534,30.58424,(((16.415288404600467*-4.049688360620275)-(12.158528925714247*(((1.1690693040981763--1.2875667087938618)+((((7.625604495540918*5.0418238305941845)-(Y*-3.6504410549639386))-(15.47357555743854+10.640664871770914))-(-2.0241629820356812+12.48618583430008)))/(12.48618583430008--0.37818009777050055))))*((((11.27400065084597/10.495320111233674)*(1.1690693040981763+-0.7017827415572828))+(8.443426670422465-0.09309433222330377))-X))
8,323289393063.81036,1603236.8604195712,33.89736,(((-3.6736225666874534/(8.893905568634787/1.8123775607447534))*(((((6.369657530068952*14.922408539287787)+(-1.2875667087938618-6.292868612085469))-15.658097275168604)*16.07511423303325)+(8.443426670422465*((1.5632606363038333*16.415288404600467)-3.0823296589499147))))+(X/((5.0418238305941845*(0.9048935857011529/15.47357555743854))/((1.4049139404701867/(13.434082995111595/(((((10.370119630812367--4.0793974453851325)/(0.09309433222330377*6.369657530068952))+5.690531311274215)/8.443426670422465)+(X+1.4104355851814194))))+(Y+((-4.049688360620275+((11.76845023995358*11.880287132028144)+((((-1.2875667087938618+(5.0418238305941845*(0.9048935857011529/15.47357555743854)))*(16.415288404600467*(3.76547171427997/5.9620100303685675)))-Y)+16.415288404600467)))/(0.8858888036226364*7.719507477181947)))))))
9,31806312072711.254,780037.8740654534,38.06404,((((((2.8812471355354505*Y)*X)-(0.2551045120380522+-4.0793974453851325))+(-3.5307702725740664/(2.74365687304501*(((((((6.1029835856795405*10.495320111233674)/4.160081296964757)+((-4.049688360620275*14.164083202865715)+X))*-3.522692701411114)*((((((10.370119630812367-(12.158528925714247/(-0.818605519169088/4.908849636792105)))*(16.07511423303325+11.880287132028144))/1.8587914121025442)*(((-0.5813203421669826/(3.284028055767571/-0.32068968265983244))/5.8271846477727145)--1.8581417305972154))/1.4506612826256209)+((10.370119630812367+8.893905568634787)+(16.468016897067-16.075416809905505))))*4.368558793863125)/14.922408539287787))))+(X*X))+((14.853782978626736*16.415288404600467)+1.8123775607447534))
