,avg_fitness,best_fitness,avg_size,best_individual
0,31997586.807308726,693.4512147322037,11.00148,((((0.29845531988819474/(10.787936087705994+-2.0363664462282296))*2.726100146592948)+Y)*2.501760200286266)
1,5101433.742614755,672.0364617760238,9.94042,((4.853263140909551-(((4.085373197318667+15.784204271471761)-(11.102080068156305*0.6866186957923874))*(Y/-1.04941704082644)))/6.740058413796632)
2,114987.11222639427,579.7286897450509,9.92064,((Y*(X+(16.787211449479837/11.865461517284608)))*1.5010985718336656)
3,59929.560297192074,579.7286897450509,10.46674,((Y*(X+(16.787211449479837/11.865461517284608)))*1.5010985718336656)
4,52897.12210032119,579.7286897450509,11.96132,((Y*(X+(16.787211449479837/11.865461517284608)))*1.5010985718336656)
5,139954.38222283148,1.1304845948245656e-13,14.5951,((Y+Y)+X) 
