,avg_fitness,best_fitness,avg_size,best_individual
0,513415902.7137452,50686.994909950015,11.00978,(0.32515128918295755+(X+(((Y*4.555325691186859)/(13.608771188641388-11.454929648858393))+14.200788018142799))) 
1,11746616.076514162,4540.74533623258,10.4063,(((-3.732548831869602+8.12763395526192)*((((((1.7430119520674099/(11.866353341973628/15.168736482657629))-((-4.439391305506872/1.5788814519550458)*(1.163811929718121-10.519597291820157)))-(Y+((-0.4463873299675267+15.384815984407087)/(11.316747145233439-1.2328305882282145))))*-0.4463873299675267)+(16.63071834922411/-4.403551243736325))-6.787077358829439))+X) 
2,1191154.0935205938,4540.74533623258,11.81364,(((-3.732548831869602+8.12763395526192)*((((((1.7430119520674099/(11.866353341973628/15.168736482657629))-((-4.439391305506872/1.5788814519550458)*(1.163811929718121-10.519597291820157)))-(Y+((-0.4463873299675267+15.384815984407087)/(11.316747145233439-1.2328305882282145))))*-0.4463873299675267)+(16.63071834922411/-4.403551243736325))-6.787077358829439))+X) 
3,1222474.8026649035,961.9724782811447,13.88992,((X-(-2.548095245070747-((Y+11.014713709136828)+(Y-15.168736482657629))))--1.9907165197625014) 
4,875599.9667529918,1.3109513474773848e-11,16.5309,((Y+Y)+X)  
