,avg_fitness,best_fitness,avg_size,best_individual
0,448358627.21547383,3204.6854889636925,11.02768,(6.814738688051314/(8.945681635326025*((0.40969971690966034*(14.676929702631032-X))+(14.824894872674353+(2.012245517542474*1.5928693984509534))))) 
1,12201925.780304503,3204.6854889636925,11.11778,(6.814738688051314/(8.945681635326025*((0.40969971690966034*(14.676929702631032-X))+(14.824894872674353+(2.012245517542474*1.5928693984509534))))) 
2,7275685.048101876,3204.6854889636925,14.3005,(6.814738688051314/(8.945681635326025*((0.40969971690966034*(14.676929702631032-X))+(14.824894872674353+(2.012245517542474*1.5928693984509534))))) 
3,155397.36277339584,3176.103415061212,18.16694,(0.06505860353137383/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/((10.703314893205219*(-0.67283121513863/2.0977196586293285))-((0.40969971690966034/(0.437896958166454/2.012245517542474))+5.73223496101525)))) 
4,1259031.924462717,3176.103415061212,21.87956,(0.06505860353137383/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/((10.703314893205219*(-0.67283121513863/2.0977196586293285))-((0.40969971690966034/(0.437896958166454/2.012245517542474))+5.73223496101525)))) 
5,348567.3853660386,3152.6665104101585,25.79526,(((2.1154389869084866*2.914639001690568)+(0.029394411904487328/8.945681635326025))/(((0.8868798617234699/((6.2163638790036195/((X+0.8868798617234699)-7.715051428703919))/10.39439634664686))*((1.6640947416440302+4.341447802217084)+(X-16.885582927109034)))+(2.583558216664729-2.0977196586293285))) 
6,145037126.57112706,3126.1739870166252,29.73906,(((-3.9988845519093856/1.752126875868698)*-0.5928268711071247)/((-0.5928268711071247-((16.470579067747465/X)*-2.0950982340493303))*X)) 
7,6108252.70442458,3126.1739870166252,33.19362,(((-3.9988845519093856/1.752126875868698)*-0.5928268711071247)/((-0.5928268711071247-((16.470579067747465/X)*-2.0950982340493303))*X)) 
8,219531772.85341856,3101.0065975223793,36.90994,(1.004167238972121/(-2.4407945982364336-(((16.871199112516912/((4.199155092339964-(12.519340041978896*((X-((4.199155092339964/-2.6933781066939035)/(((-2.904203378947402/((((-2.5951808081268366-(10.394774066107457/2.4080146697742304))-(-1.5985960747126082*13.417801599245863))*7.715051428703919)-9.3191973565804))+13.499382625215194)/5.147289485109059)))-14.60014425123289)))-3.689697782172166))+(7.772399061551278-X))*((5.73223496101525*((-3.428110422189305/X)/(0.19521311497242166--1.008722843814387)))-(-0.67283121513863-0.19521311497242166))))) 
9,107538954.08965555,3073.2425422386923,42.12616,(1.004167238972121/(-2.4407945982364336-(((16.871199112516912/((4.199155092339964-(12.519340041978896*((X-((4.199155092339964/((4.672454442746785/(((X*5.819749678002978)*-1.385983158977409)*(((-1.5985960747126082/2.0977196586293285)+((15.130924111292067+X)/5.503916536376739))+(-0.047577827174652754*1.004167238972121))))/5.147289485109059))/(((-2.904203378947402/((((-2.5951808081268366-(10.394774066107457/2.4080146697742304))-(-1.5985960747126082*13.417801599245863))*7.715051428703919)-9.3191973565804))+13.499382625215194)/5.147289485109059)))-14.60014425123289)))-3.689697782172166))+(7.772399061551278-X))*((5.73223496101525*((-3.428110422189305/X)/(0.19521311497242166--1.008722843814387)))-(-0.67283121513863-0.19521311497242166))))) 
10,1276764464.1119685,2955.3399547126487,50.20576,(((16.871199112516912/15.130924111292067)*((-2.5951808081268366-0.40969971690966034)/(((12.492810897563292+10.279118583248572)+0.19521311497242166)-X)))/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/(-1.9028080628522335-((((10.394774066107457/14.676929702631032)/((-2.6933781066939035/(5.147289485109059/0.8868798617234699))/0.8868798617234699))/(((16.084240772035745+-1.008722843814387)/0.40969971690966034)*(16.871199112516912+(6.3001038221431465-(((((1.5928693984509534/-3.9733347779122763)/1.752126875868698)/8.252796325205404)/16.470579067747465)--2.904203378947402)))))+5.73223496101525)))) 
11,8795425122.44337,2955.3399547126487,63.66972,(((16.871199112516912/15.130924111292067)*((-2.5951808081268366-0.40969971690966034)/(((12.492810897563292+10.279118583248572)+0.19521311497242166)-X)))/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/(-1.9028080628522335-((((10.394774066107457/14.676929702631032)/((-2.6933781066939035/(5.147289485109059/0.8868798617234699))/0.8868798617234699))/(((16.084240772035745+-1.008722843814387)/0.40969971690966034)*(16.871199112516912+(6.3001038221431465-(((((1.5928693984509534/-3.9733347779122763)/1.752126875868698)/8.252796325205404)/16.470579067747465)--2.904203378947402)))))+5.73223496101525)))) 
12,846260272.814533,2954.765731331915,83.99924,(((16.871199112516912/15.130924111292067)*((-2.5951808081268366-0.40969971690966034)/(((12.492810897563292+10.279118583248572)+0.19521311497242166)-X)))/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/(-1.9028080628522335-(((5.73223496101525-(X*(-2.328642512089937/-2.598795606069313)))/(((16.084240772035745+-1.008722843814387)/0.40969971690966034)*(16.871199112516912+(6.3001038221431465-(((((1.5928693984509534/-3.9733347779122763)/1.752126875868698)/8.252796325205404)/-0.047577827174652754)--2.904203378947402)))))+5.73223496101525)))) 
13,1288972453.3191004,2953.301724750678,104.13916,(((16.871199112516912/15.130924111292067)*((-2.5951808081268366-0.40969971690966034)/(((12.492810897563292+10.279118583248572)+0.19521311497242166)-X)))/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/(-1.9028080628522335-(((2.4080146697742304-(X*(-4.943915028729089/16.871199112516912)))/(((X+16.470579067747465)/((-4.943915028729089*16.13888368823588)/6.3001038221431465))*(16.871199112516912+(6.3001038221431465-(((((1.5928693984509534/-3.9733347779122763)/1.752126875868698)/8.252796325205404)/-0.047577827174652754)--2.904203378947402)))))+5.73223496101525)))) 
14,5061374.911048466,2950.1739229928553,119.60454,(((16.871199112516912/15.130924111292067)*((-2.5951808081268366-0.40969971690966034)/(((12.492810897563292+10.279118583248572)+0.19521311497242166)-X)))/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/(-1.9028080628522335-((((((4.341447802217084/5.819749678002978)-(16.368926031366247/(((((16.871199112516912/7.534534558354917)*((9.3191973565804-0.40969971690966034)/(((12.492810897563292+10.279118583248572)+0.8868798617234699)-X)))/(10.457402850758351-13.499382625215194))-((8.994645008018002+(X/(((-2.5114269282680404+10.077209834582051)/(-2.598795606069313/13.632748497708548))-(-1.9028080628522335*((-4.558519426289223/(6.3001038221431465+(((2.583558216664729*X)+((7.772399061551278-X)--3.428110422189305))+(0.029394411904487328--1.008722843814387))))+0.437896958166454)))))/X))/(((4.341447802217084+-1.5985960747126082)-(9.3191973565804*((5.147289485109059-(-2.2555443817594094*13.105089328157963))+16.871199112516912)))-(((((14.60014425123289+8.994645008018002)*X)/-2.532024686085341)/((6.2163638790036195*0.9428201891172971)-(4.341447802217084+14.709210906595835)))--1.387240965331347)))))/14.676929702631032)/2.4080146697742304)/(((16.084240772035745+-1.008722843814387)/10.279118583248572)*(16.871199112516912+(6.3001038221431465-(((((1.5928693984509534/-3.9733347779122763)/1.752126875868698)/8.252796325205404)/16.470579067747465)--2.904203378947402)))))+5.73223496101525)))) 
15,1117665.0509418184,2922.5679092777473,134.3806,((1.004167238972121/(-2.4407945982364336-(((16.871199112516912/((4.199155092339964-(12.519340041978896*((X-((16.084240772035745--1.008722843814387)/(((16.871199112516912-6.3001038221431465)+13.499382625215194)/5.147289485109059)))-14.60014425123289)))-3.689697782172166))+(7.772399061551278-X))*((5.73223496101525*((-3.428110422189305/X)/(0.19521311497242166--1.008722843814387)))-(-0.67283121513863-0.19521311497242166)))))/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/(-1.9028080628522335-(((3.3903857805626316/-0.763714820134437)/((-1.9028080628522335/13.632748497708548)*5.819749678002978))+10.279118583248572)))) 
16,2904158.0542440065,2904.676641449897,148.5303,(((16.871199112516912/15.130924111292067)*((-2.5951808081268366-0.40969971690966034)/(((12.492810897563292+10.279118583248572)+0.19521311497242166)-X)))/((-1.5985960747126082*(15.986215357419152-((X+(3.3903857805626316/-0.763714820134437))/3.3903857805626316)))/(-1.9028080628522335-(((5.73223496101525-(X*(-4.943915028729089/16.871199112516912)))/(((((-1.5985960747126082/(((0.8868798617234699/((6.2163638790036195/(16.871199112516912-7.715051428703919))/10.39439634664686))*((1.6640947416440302+4.341447802217084)+(X-16.885582927109034)))+-2.5114269282680404))/7.772399061551278)+-1.008722843814387)/0.40969971690966034)*(16.871199112516912+(6.3001038221431465-((((-3.9988845519093856/((4.199155092339964-((((X-(-3.428110422189305+-3.428110422189305))+(5.147289485109059+((-4.943915028729089/-1.5985960747126082)-2.0977196586293285)))/(12.519340041978896-6.426937130747962))*(0.8868798617234699*13.632748497708548)))-3.689697782172166))+(7.772399061551278-X))*((5.73223496101525*((-3.428110422189305/X)/(0.19521311497242166--1.008722843814387)))-(-0.67283121513863-0.19521311497242166)))-(4.341447802217084+(14.591733285861729-((14.676929702631032+(((0.06505860353137383-0.9101134417831762)+-1.5985960747126082)*10.077209834582051))-((16.084240772035745/-2.532024686085341)*10.394774066107457)))))))))+5.73223496101525)))) 
