,avg_fitness,best_fitness,avg_size,best_individual
0,4389330690.245978,879254401.1325336,10.99802,((10.830859836237927/(((10.527918513006712-7.130920704336898)/1.978950389003992)+6.065730715799493))-(X*(((Y*-2.5219173708459577)-2.44553670659959)-((5.576270766588539/Y)--2.5239766285210274)))) 
1,2113704246.8673034,879242668.9383911,12.01802,((10.830859836237927/(((10.527918513006712-7.130920704336898)/1.978950389003992)+6.065730715799493))-(X*(((Y*-2.5219173708459577)-2.44553670659959)-((9.196536716278287+(1.5120721990264396*4.87904925263318))--2.5239766285210274)))) 
2,2999758130.6847587,879175648.2540056,15.76846,((((((10.527918513006712/(10.592356151652197/Y))*8.147878288201376)-(-2.5239766285210274--2.5239766285210274))+1.7091740630344852)/(((11.246240501132892+-0.17166443696152633)-(7.504290214398026+-0.7895776577221696))-2.0303112907938736))*X) 
3,4783069704.575865,878833337.99798,20.51582,((0.03522272159588802+((10.830859836237927/((((13.775113060688074*16.434766670285963)-((13.775113060688074+-3.2748462522657924)+0.03651224182764512))/1.978950389003992)+6.065730715799493))-(X*(((Y*-2.5219173708459577)-2.44553670659959)-((5.576270766588539/Y)--2.5239766285210274)))))-(((0.03522272159588802-((2.6280402021962024-(6.065730715799493+((-0.17166443696152633/-0.17166443696152633)/(8.342328038967336/-1.4541631292050057))))+11.141424869183755))/0.03522272159588802)--0.17166443696152633)) 
4,11519607006.087408,870094453.4485425,25.19584,((10.830859836237927/(((10.527918513006712-7.130920704336898)/1.978950389003992)+16.848421648358542))-(X*(((Y*-2.7116388286275415)-2.44553670659959)-((2.6280402021962024/Y)--2.5239766285210274)))) 
5,213635394770.6654,311142929.91284776,29.39184,((10.830859836237927/(15.444997750724195+16.848421648358542))-(X*(((Y*-2.5219173708459577)-2.44553670659959)-((5.172049538745421+X)--2.5239766285210274)))) 
6,261802512701.3038,311122224.5963271,33.16054,((((16.848421648358542*3.324351947513419)*6.8902039078505855)/5.229123359614331)-(X*(((Y*-2.5219173708459577)-2.44553670659959)-(X--2.5239766285210274)))) 
7,557007790961.8857,176282333.1440845,36.65436,(((10.427217109014245*(((12.56354808970151*1.4990820235687599)-(-4.707911204818917+(1.978950389003992+Y)))/((-0.5037346936954474+2.0303112907938736)/((3.324351947513419+X)/(-2.06630542103761-0.03522272159588802)))))+(((X*X)+6.227666331045928)+((12.56354808970151*9.196536716278287)/8.640144414969136)))+16.434766670285963) 
8,3999327329214115.5,82277244.931234,40.48426,((X--1.382336598723537)*(X+(((Y-2.0303112907938736)*(-1.4541631292050057/-0.5037346936954474))+((3.6209860481624947-6.227666331045928)-(13.877414171720066+15.802755386892535))))) 
9,114043017898276.83,11045855.409810875,44.57398,(X*((((Y+6.227666331045928)+(Y+X))+((0.03522272159588802+15.431294820873283)/((10.889418714714598*((12.56354808970151*(0.523389218425292+(((2.0043506326445657+(8.147878288201376+6.227666331045928))-(-0.7895776577221696--3.2748462522657924))*(((0.03522272159588802/4.7069670241820365)+(Y+((0.03522272159588802/15.431294820873283)/4.87904925263318)))+6.353770021591414))))+5.517783650941501))-4.7069670241820365)))+(((0.03522272159588802/4.7069670241820365)+(Y+((0.03522272159588802+15.431294820873283)/(((-4.788183447878865+(1.7091740630344852*11.141424869183755))*((15.431294820873283*((((10.427217109014245+(Y+-2.06630542103761))*-1.2903965870207523)*-2.06630542103761)-1.7090466166844953))-4.7069670241820365))-4.7069670241820365))))+((-0.17166443696152633*((((-4.707911204818917-(9.352770995941382+-1.8803789171694398))+(-4.969939095409698*10.527918513006712))+14.498712544951928)*-0.5037346936954474))/13.176433328429184)))) 
10,46589521738868.05,8928570.039999988,49.29438,(X*((Y+X)+(Y+Y))) 
11,109536304895564.58,8928570.039999988,55.02504,(X*((Y+X)+(Y+Y))) 
