,avg_fitness,best_fitness,avg_size,best_individual
0,65391192.43311806,629374.7661952329,11.0467,(9.238054131152689*((((16.78941138381322*X)*1.5864534257346357)-9.238054131152689)+((2.6364245723243354-4.708246721476309)/0.6838450835332832)))
1,54327893.068603896,629374.7661952329,10.66844,(9.238054131152689*((((16.78941138381322*X)*1.5864534257346357)-9.238054131152689)+((2.6364245723243354-4.708246721476309)/0.6838450835332832)))
2,1352676.1744435406,89382.5878321442,11.88482,((((X*(-4.440330105669318*12.511310356784886))*(2.052202820143588-X))*(X--1.4289033284940746))/9.908232432651177)
3,1378299.4591227854,89382.5878321442,14.33014,((((X*(-4.440330105669318*12.511310356784886))*(2.052202820143588-X))*(X--1.4289033284940746))/9.908232432651177)
4,1690034.580661518,89382.5878321442,18.25828,((((X*(-4.440330105669318*12.511310356784886))*(2.052202820143588-X))*(X--1.4289033284940746))/9.908232432651177)
5,2099228.352127992,88674.59979615411,22.81902,(((1.6882392484843374/2.6364245723243354)*((X*(X*X))*8.261998420197543))+((X/15.867121373243705)-(-4.440330105669318/1.6882392484843374)))
6,2812402.7316475883,83816.6399999998,27.23746,((X*(X*X))*(10.878642614340679-5.894985429576938))
7,3744391.3932326287,83816.6399999998,31.39488,((X*(X*X))*(10.878642614340679-5.894985429576938))
8,4765352.084441084,50687.96353623846,35.25398,((16.199015055136307+(((((8.353368667685192-12.250098652924652)/(9.673287672512838+-3.0029887637716364))+X)+X)*(X*(X/(6.588121756129231/16.513030594181053)))))-0.40895707459743047)
9,5993376.855622727,50687.96353623846,39.73804,((16.199015055136307+(((((8.353368667685192-12.250098652924652)/(9.673287672512838+-3.0029887637716364))+X)+X)*(X*(X/(6.588121756129231/16.513030594181053)))))-0.40895707459743047)
10,23680359.748766877,34601.410070342376,45.47722,(((((((15.867121373243705/-1.1347488985063428)/(0.35184021442512137+-1.8130566426062207))*16.24262578255315)*(0.40895707459743047/16.199015055136307))+(7.72248138698126/16.513030594181053))+(((((3.495374626611193-12.250098652924652)/(9.673287672512838+-3.0029887637716364))+X)+X)*(X*(X/(6.588121756129231/16.513030594181053)))))-0.40895707459743047)
11,10680802.762438422,19825.81946541851,52.3428,((((((((8.625748297318706+-3.6673530969596904)/-4.440330105669318)/((9.908232432651177/5.314800019697776)*13.197931396367242))+X)*X)+0.35184021442512137)*4.947063019506157)*(X-(0.35184021442512137-(6.825193736373899/(3.3463249392758243+(16.78941138381322*X))))))
