,avg_fitness,best_fitness,avg_size,best_individual
0,1480231818.985224,624967068.4061233,10.99442,((X*((7.262110030454036-(13.78889324385235*4.977035029505673))*8.614216234409762))*((4.8991336598013095+((-0.2068274218560333*13.259037972570425)/3.138883310706582))+((3.2123959557510595/-0.18937005315132005)*3.138883310706582)))
1,1476548501.3246963,268642553.06864303,12.31994,((((6.601381031867938+13.062105408641468)*(6.974365045292856*(8.917156457205268-(13.30854761263549/13.421743154118065))))*X)*(X/2.5676046139311346))
2,2772768803.678799,86702290.92502885,16.48314,((10.349834777448274-(X+((4.533643237270155*11.299168580893475)-(-3.6608271292951606/-4.953691014616371))))*((((-3.476649814895236+2.479249586849445)+4.402567955063619)-((X+15.867454019590909)*-0.2068274218560333))*(((16.519159257371108-X)*14.805923942716692)--4.6536060923034235)))
3,24418434473.928844,45759996.26959166,21.17888,(X*(7.64621293207494+(X*(((5.10392956502192*X)+(((10.093097832323668/15.723119574615783)/(11.368068240398799+12.443852494787233))-9.241347610554273))+13.062105408641468))))
4,122848525781.25914,44205607.5938608,25.3925,(X*(7.64621293207494+(X*(((5.10392956502192*X)+((-3.6608271292951606/(11.368068240398799+(-4.970890492163804+(16.17347592339035-14.233997640219265))))-9.241347610554273))+13.062105408641468))))
5,436964254902992.6,31944949.213415787,28.8188,((((X*X)+16.743549779244848)*((15.985475839324138*(-4.285128899320891--4.4141972619169625))+((4.772961064662889/14.805923942716692)*(12.812731329125079+(14.747305115661952*X)))))+(11.602527448454559-15.040102319908382))
6,6786509575196.247,20171282.68530814,31.95402,(X*(7.64621293207494+(X*(((5.10392956502192*X)+((-3.6608271292951606/(11.368068240398799+12.443852494787233))-16.73382612505796))+13.062105408641468))))
7,34739926481103.305,7641957.838486282,35.22178,(X*(8.416657778742682+(X*(((5.10392956502192*X)+((-3.6608271292951606-(11.368068240398799+(((14.764957430359665/(-2.936220523597532+((((4.783250485754607+X)*((-4.285128899320891*((14.805923942716692+15.436031521027918)*-3.476649814895236))*(X+10.07823081379417)))*14.233997640219265)-5.204479889640826)))+14.866523618486248)+(-3.6608271292951606-14.233997640219265))))-9.241347610554273))+13.062105408641468))))
8,1.2554356121656143e+27,6858581.177490015,39.09282,(X*(5.10392956502192+(X*(((5.10392956502192*X)+((-3.6608271292951606/(11.368068240398799+7.262110030454036))-9.241347610554273))+0.8558493087436743))))
9,3.6216959024308306e+18,5328211.078584434,43.1448,(X*(((11.449522351166614-5.869327577601776)+(13.421743154118065+11.368068240398799))+(X*(((5.10392956502192*X)+((12.625674358885757/(11.368068240398799+12.443852494787233))-(15.13830053281379+(((((-4.953691014616371*(13.78889324385235+0.5925416884646353))/4.233311936325183)+13.30854761263549)/(16.17347592339035/(4.533643237270155-14.866523618486248)))-(2.479249586849445-10.349834777448274)))))+14.866523618486248))))
10,4.435640433735999e+16,3570688.740953308,47.70012,(X*((15.056929454646614*10.07823081379417)+(X*(((5.10392956502192*X)+(((4.783250485754607/5.696066512893307)/(11.368068240398799+12.443852494787233))-9.241347610554273))+-2.936220523597532))))
11,5.004610363689052e+16,1164478.9237558395,53.93588,(4.977035029505673*(((X*X)*X)-16.17347592339035))
12,5.831794768358798e+18,1111728.9799966665,61.8725,((((((13.259037972570425*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+(-4.499277583342431-15.040102319908382))+7.950046913066075)+((4.233311936325183+2.479249586849445)--3.476649814895236))*((-4.285128899320891-16.743549779244848)-(11.879918249128195/((-0.2068274218560333-4.783250485754607)*(14.866523618486248+11.602527448454559))))))*16.743549779244848)+(((8.116094387785683+(-1.8061621195399065+((((11.299168580893475+6.601381031867938)*9.808522419601683)/((((4.783250485754607+X)*((-4.285128899320891*((X+15.436031521027918)*-3.476649814895236))*(X+14.233997640219265)))*14.233997640219265)-5.204479889640826))-4.772961064662889)))+(4.977035029505673*(X*X)))*X))
13,5.1134601858405505e+20,997531.4049846075,69.34028,((((((13.259037972570425*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+(-4.499277583342431-15.040102319908382))+((((4.772961064662889+3.2123959557510595)*(X*(X+10.07823081379417)))*8.116094387785683)-5.204479889640826))+((4.233311936325183+3.3525539439494167)--3.476649814895236))*((-4.285128899320891-16.743549779244848)-(12.625674358885757*8.614216234409762))))*16.743549779244848)+(((-4.6536060923034235+(-1.8061621195399065+((((-3.6608271292951606/(((X*((14.651011796107795+14.732736544104675)*X))*13.404487453764435)+11.368068240398799))-9.241347610554273)/8.116094387785683)-4.772961064662889)))+(4.977035029505673*(X*X)))*X))
14,4.286976892552721e+29,803549.1936174332,79.59938,(X*((X/3.138883310706582)+(X*(((5.10392956502192*X)+((-3.6608271292951606-(11.368068240398799+((((-4.285128899320891+((X*(5.9268358312017675+(X*(((5.10392956502192*X)+(((6.601381031867938*14.747305115661952)/(13.259037972570425+3.2123959557510595))-9.241347610554273))+((-4.953691014616371/(-4.6536060923034235*-1.1121141999778024))*(-1.1121141999778024/(-4.6536060923034235-((9.241347610554273*((X-(4.402567955063619*8.917156457205268))+((14.747305115661952+13.009353859970656)/10.07823081379417)))/(4.772961064662889/(((9.808522419601683*10.07823081379417)*12.625674358885757)*X))))))))))*X))/(-2.936220523597532+((((3.2123959557510595+X)*((-4.285128899320891*((14.805923942716692+15.436031521027918)*-3.476649814895236))*(X+10.07823081379417)))*14.233997640219265)-((5.10392956502192*X)+((-3.6608271292951606/(11.368068240398799+((4.783250485754607+X)*((-4.285128899320891*(((-0.43793645483100807/5.10392956502192)*0.8558493087436743)*(12.443852494787233*4.772961064662889)))*(X+16.743549779244848)))))-9.241347610554273)))))+14.866523618486248)+(-3.6608271292951606-14.233997640219265))))-9.241347610554273))+15.13830053281379))))
15,6.880398118329956e+24,803549.1936174332,94.02856,(X*((X/3.138883310706582)+(X*(((5.10392956502192*X)+((-3.6608271292951606-(11.368068240398799+((((-4.285128899320891+((X*(5.9268358312017675+(X*(((5.10392956502192*X)+(((6.601381031867938*14.747305115661952)/(13.259037972570425+3.2123959557510595))-9.241347610554273))+((-4.953691014616371/(-4.6536060923034235*-1.1121141999778024))*(-1.1121141999778024/(-4.6536060923034235-((9.241347610554273*((X-(4.402567955063619*8.917156457205268))+((14.747305115661952+13.009353859970656)/10.07823081379417)))/(4.772961064662889/(((9.808522419601683*10.07823081379417)*12.625674358885757)*X))))))))))*X))/(-2.936220523597532+((((3.2123959557510595+X)*((-4.285128899320891*((14.805923942716692+15.436031521027918)*-3.476649814895236))*(X+10.07823081379417)))*14.233997640219265)-((5.10392956502192*X)+((-3.6608271292951606/(11.368068240398799+((4.783250485754607+X)*((-4.285128899320891*(((-0.43793645483100807/5.10392956502192)*0.8558493087436743)*(12.443852494787233*4.772961064662889)))*(X+16.743549779244848)))))-9.241347610554273)))))+14.866523618486248)+(-3.6608271292951606-14.233997640219265))))-9.241347610554273))+15.13830053281379))))
16,4.491698071897616e+22,518354.7108103309,108.90826,((((((15.723119574615783*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+(-4.499277583342431-15.040102319908382))+7.950046913066075)+((11.368068240398799+2.479249586849445)--3.476649814895236))*((-4.285128899320891-16.743549779244848)-(11.879918249128195/((-0.2068274218560333-4.783250485754607)*(14.866523618486248+11.602527448454559))))))*(4.533643237270155*16.743549779244848))+(((8.116094387785683+(((X-9.241347610554273)+((-3.6608271292951606-((13.78889324385235/4.233311936325183)-(8.416657778742682*15.985475839324138)))*-0.7574715823927374))+((((11.299168580893475+6.601381031867938)*9.808522419601683)/8.116094387785683)-4.772961064662889)))+(4.977035029505673*(X*X)))*X))
17,1.7194383142808105e+26,518354.7108103309,117.42676,((((((15.723119574615783*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+(-4.499277583342431-15.040102319908382))+7.950046913066075)+((11.368068240398799+2.479249586849445)--3.476649814895236))*((-4.285128899320891-16.743549779244848)-(11.879918249128195/((-0.2068274218560333-4.783250485754607)*(14.866523618486248+11.602527448454559))))))*(4.533643237270155*16.743549779244848))+(((8.116094387785683+(((X-9.241347610554273)+((-3.6608271292951606-((13.78889324385235/4.233311936325183)-(8.416657778742682*15.985475839324138)))*-0.7574715823927374))+((((11.299168580893475+6.601381031867938)*9.808522419601683)/8.116094387785683)-4.772961064662889)))+(4.977035029505673*(X*X)))*X))
18,1.2280558164635082e+24,510778.0787706997,124.14398,((((((15.723119574615783*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+(-4.499277583342431-15.040102319908382))+7.950046913066075)+((11.368068240398799+2.479249586849445)--3.476649814895236))*((-4.285128899320891-16.743549779244848)-(11.879918249128195/((-0.2068274218560333-4.783250485754607)*(-4.4141972619169625/13.009353859970656))))))*(4.533643237270155*16.743549779244848))+(((8.116094387785683+(((X-9.241347610554273)+((-3.6608271292951606-((13.78889324385235/4.233311936325183)-(8.416657778742682*15.985475839324138)))*-0.7574715823927374))+((((11.299168580893475+6.601381031867938)*9.808522419601683)/8.116094387785683)-4.772961064662889)))+(4.977035029505673*(X*X)))*X))
19,1.3417874403054447e+25,499656.35940576054,137.67684,((((((15.723119574615783*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+(-4.499277583342431-11.368068240398799))+7.950046913066075)+((11.368068240398799+2.479249586849445)--3.476649814895236))*((-4.285128899320891-16.743549779244848)-(11.879918249128195/((-0.2068274218560333-4.783250485754607)*(14.866523618486248+11.602527448454559))))))/(4.533643237270155*16.743549779244848))+((((4.233311936325183+2.479249586849445)+(((X-9.241347610554273)+((-3.6608271292951606-((13.78889324385235/-4.499277583342431)-(8.416657778742682*15.985475839324138)))*-0.7574715823927374))+((((11.299168580893475+8.116094387785683)*9.808522419601683)/8.116094387785683)-4.772961064662889)))+(4.977035029505673*(X*X)))*X))
20,1.2247173229455383e+21,432914.71957515995,156.56436,((((((((((X*(12.625674358885757*(X-(6.865205855853121/(-4.953691014616371-16.73382612505796)))))/(-2.936220523597532+((16.73382612505796+((-3.476649814895236+5.10392956502192)-(11.299168580893475-13.259037972570425)))--4.285128899320891)))+14.866523618486248)+2.2242974309410233)*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+((13.404487453764435*8.99255007567944)+((8.917156457205268*(6.865205855853121+(9.241347610554273*5.10392956502192)))+6.601381031867938)))+4.772961064662889)+((4.233311936325183+3.3525539439494167)-((5.10392956502192*(X+-3.6608271292951606))+(8.116094387785683+(((4.932695073808198*(-3.3372567020552744-(-0.43793645483100807/(11.449522351166614/((-3.3372567020552744/8.416657778742682)/(0.6096078626388461-((-1.3791834967753562*13.404487453764435)-(((((((15.723119574615783+2.479249586849445)+((12.812731329125079-((-3.6608271292951606+13.78889324385235)/11.299168580893475))*X))-12.443852494787233)+(15.056929454646614*(((11.299168580893475*X)+((-3.6608271292951606-(11.368068240398799+((13.404487453764435+4.8991336598013095)+(-3.6608271292951606-14.233997640219265))))-9.241347610554273))+13.062105408641468)))*X)-(4.932695073808198*(0.6096078626388461-(12.625674358885757*14.747305115661952))))+11.449522351166614))))))))/5.10392956502192)+7.262110030454036)))))*(4.977035029505673-(11.879918249128195/(14.747305115661952*5.204479889640826)))))*4.932695073808198)+((((-1.3791834967753562-9.241347610554273)+(-1.8061621195399065+((((7.64621293207494+6.601381031867938)*9.808522419601683)/8.116094387785683)-((12.625674358885757*14.805923942716692)/5.696066512893307))))+(4.977035029505673*(X*X)))*X))
21,3.7477065496031114e+23,432914.71957515995,178.12388,((((((((((X*(12.625674358885757*(X-(6.865205855853121/(-4.953691014616371-16.73382612505796)))))/(-2.936220523597532+((16.73382612505796+((-3.476649814895236+5.10392956502192)-(11.299168580893475-13.259037972570425)))--4.285128899320891)))+14.866523618486248)+2.2242974309410233)*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+((13.404487453764435*8.99255007567944)+((8.917156457205268*(6.865205855853121+(9.241347610554273*5.10392956502192)))+6.601381031867938)))+4.772961064662889)+((4.233311936325183+3.3525539439494167)-((5.10392956502192*(X+-3.6608271292951606))+(8.116094387785683+(((4.932695073808198*(-3.3372567020552744-(-0.43793645483100807/(11.449522351166614/((-3.3372567020552744/8.416657778742682)/(0.6096078626388461-((-1.3791834967753562*13.404487453764435)-(((((((15.723119574615783+2.479249586849445)+((12.812731329125079-((-3.6608271292951606+13.78889324385235)/11.299168580893475))*X))-12.443852494787233)+(15.056929454646614*(((11.299168580893475*X)+((-3.6608271292951606-(11.368068240398799+((13.404487453764435+4.8991336598013095)+(-3.6608271292951606-14.233997640219265))))-9.241347610554273))+13.062105408641468)))*X)-(4.932695073808198*(0.6096078626388461-(12.625674358885757*14.747305115661952))))+11.449522351166614))))))))/5.10392956502192)+7.262110030454036)))))*(4.977035029505673-(11.879918249128195/(14.747305115661952*5.204479889640826)))))*4.932695073808198)+((((-1.3791834967753562-9.241347610554273)+(-1.8061621195399065+((((7.64621293207494+6.601381031867938)*9.808522419601683)/8.116094387785683)-((12.625674358885757*14.805923942716692)/5.696066512893307))))+(4.977035029505673*(X*X)))*X))
22,2.2752568008438102e+22,391281.74132069276,198.79324,(X+(((((((-3.476649814895236/(((6.974365045292856*(3.3525539439494167-((4.932695073808198*(-3.6608271292951606-((13.404487453764435+11.299168580893475)+((((5.696066512893307/(11.368068240398799+(((14.764957430359665/(-2.936220523597532-((((4.783250485754607+6.601381031867938)*(((13.78889324385235*8.99166423359029)*((5.10392956502192*(4.977035029505673+X))*12.625674358885757))*(X+10.07823081379417)))*14.233997640219265)*5.204479889640826)))+14.866523618486248)+X)))-11.368068240398799)/(((15.33178270258287/13.009353859970656)/5.10392956502192)*((-3.6608271292951606+4.533643237270155)*15.040102319908382)))+(3.3525539439494167-14.866523618486248)))))+(12.812731329125079/(14.651011796107795/7.262110030454036)))))-(-0.34751943099123306-((-0.7574715823927374-(((X*13.009353859970656)*2.5676046139311346)+4.977035029505673))*2.479249586849445)))+12.812731329125079))+((16.73382612505796-(15.916783788667441--4.285128899320891))*14.805923942716692))+(((16.519159257371108/(11.368068240398799+((((-4.285128899320891+15.040102319908382)/3.138883310706582)+16.519159257371108)+((13.421743154118065+2.2242974309410233)+(4.783250485754607+3.3525539439494167)))))*(14.732736544104675*5.9268358312017675))/14.805923942716692))+7.64621293207494)+(-1.8061621195399065+(((X-6.865205855853121)*((13.78889324385235+((3.138883310706582*(((X-5.10392956502192)+-4.970890492163804)+(8.416657778742682/13.259037972570425)))/4.772961064662889))/(((13.78889324385235/5.10392956502192)+10.093097832323668)*8.416657778742682)))-5.204479889640826)))+(4.977035029505673*(X*X)))*X))
23,8.060191645935316e+33,391281.74132069276,219.20476,(X+(((((((-3.476649814895236/(((6.974365045292856*(3.3525539439494167-((4.932695073808198*(-3.6608271292951606-((13.404487453764435+11.299168580893475)+((((5.696066512893307/(11.368068240398799+(((14.764957430359665/(-2.936220523597532-((((4.783250485754607+6.601381031867938)*(((13.78889324385235*8.99166423359029)*((5.10392956502192*(4.977035029505673+X))*12.625674358885757))*(X+10.07823081379417)))*14.233997640219265)*5.204479889640826)))+14.866523618486248)+X)))-11.368068240398799)/(((15.33178270258287/13.009353859970656)/5.10392956502192)*((-3.6608271292951606+4.533643237270155)*15.040102319908382)))+(3.3525539439494167-14.866523618486248)))))+(12.812731329125079/(14.651011796107795/7.262110030454036)))))-(-0.34751943099123306-((-0.7574715823927374-(((X*13.009353859970656)*2.5676046139311346)+4.977035029505673))*2.479249586849445)))+12.812731329125079))+((16.73382612505796-(15.916783788667441--4.285128899320891))*14.805923942716692))+(((16.519159257371108/(11.368068240398799+((((-4.285128899320891+15.040102319908382)/3.138883310706582)+16.519159257371108)+((13.421743154118065+2.2242974309410233)+(4.783250485754607+3.3525539439494167)))))*(14.732736544104675*5.9268358312017675))/14.805923942716692))+7.64621293207494)+(-1.8061621195399065+(((X-6.865205855853121)*((13.78889324385235+((3.138883310706582*(((X-5.10392956502192)+-4.970890492163804)+(8.416657778742682/13.259037972570425)))/4.772961064662889))/(((13.78889324385235/5.10392956502192)+10.093097832323668)*8.416657778742682)))-5.204479889640826)))+(4.977035029505673*(X*X)))*X))
24,4.0730036814290205e+25,371808.05981532054,229.66528,((((((((((X*(12.625674358885757*(X-(6.865205855853121/(-4.953691014616371-16.73382612505796)))))/(-2.936220523597532+((16.73382612505796+((-3.476649814895236+5.10392956502192)-(11.299168580893475-13.259037972570425)))-10.093097832323668)))+14.866523618486248)+2.2242974309410233)*(14.805923942716692+X))-7.64621293207494)-15.436031521027918)/((((3.6968213890504913+((13.404487453764435*8.99255007567944)+((15.436031521027918*(6.865205855853121+(9.241347610554273*5.10392956502192)))+-0.2068274218560333)))+4.772961064662889)+((4.233311936325183+3.3525539439494167)-((5.10392956502192*(X+-3.6608271292951606))+(8.116094387785683-(((4.932695073808198*(-3.3372567020552744-(-0.43793645483100807/(((X*X)*((((11.879918249128195/((-0.2068274218560333-4.783250485754607)*(14.866523618486248+11.602527448454559)))*8.917156457205268)*((5.696066512893307/7.950046913066075)-(X-2.2242974309410233)))+((5.10392956502192-(11.602527448454559*((4.932695073808198+4.932695073808198)-(11.368068240398799-((((((5.10392956502192*X)+((-3.6608271292951606/(11.368068240398799+11.602527448454559))-9.241347610554273))*16.743549779244848)*7.262110030454036)*((8.99166423359029+(-1.8061621195399065+((((11.299168580893475+6.601381031867938)*9.808522419601683)/8.116094387785683)-((-1.3791834967753562-(14.866523618486248+13.062105408641468))+(-1.8061621195399065+((((11.299168580893475+6.601381031867938)*9.808522419601683)/8.116094387785683)-13.30854761263549))))))*X))+((8.99255007567944-5.9268358312017675)-(5.9268358312017675+15.040102319908382)))))))-0.5925416884646353)))+(((((12.443852494787233*12.812731329125079)-((-0.48870784917136234*(((-4.499277583342431-((((10.349834777448274/11.879918249128195)-0.5925416884646353)*((7.64621293207494*(((5.10392956502192*X)+(((0.5925416884646353/5.696066512893307)/(2.2242974309410233+((7.950046913066075*14.805923942716692)/(((8.99166423359029+9.808522419601683)/(((((4.233311936325183/-4.285128899320891)-(4.233311936325183*(((5.204479889640826/((X-9.241347610554273)+0.5925416884646353))+(4.932695073808198+(((15.13830053281379+(15.916783788667441*8.99255007567944))*((-2.7578816109991093/-4.285128899320891)/-4.65665427761552))+12.812731329125079)))*11.879918249128195)))*(((5.10392956502192*X)*((9.241347610554273*(((11.879918249128195+(13.062105408641468-(13.30854761263549*(4.783250485754607*(((4.783250485754607+X)*((((((8.99166423359029*(X*(3.3525539439494167*11.879918249128195)))*12.443852494787233)+((7.64621293207494+(X+(((5.10392956502192*X)+((11.449522351166614/(((4.533643237270155+(4.783250485754607*13.30854761263549))*(X+(16.17347592339035-14.233997640219265)))*11.449522351166614))-9.241347610554273))+(((10.049434379705122/(((13.404487453764435*(5.10392956502192*4.783250485754607))+((-4.23068428861597-(((((4.977035029505673+(15.436031521027918-14.233997640219265))+13.78889324385235)*(8.416657778742682/((((12.443852494787233-6.601381031867938)-(-0.18937005315132005/(7.64621293207494*((12.443852494787233*4.932695073808198)+(((5.10392956502192*X)+-3.3372567020552744)+(13.30854761263549/(4.533643237270155*((8.116094387785683-4.783250485754607)+(((15.040102319908382+15.723119574615783)+7.64621293207494)--4.23068428861597)))))))))*(X-(4.783250485754607*6.974365045292856)))*(13.30854761263549*(4.783250485754607+8.99255007567944)))))+8.917156457205268)-6.974365045292856))-0.5925416884646353))*5.10392956502192))/((((X*14.764957430359665)+((((11.299168580893475/12.443852494787233)-14.233997640219265)+(9.808522419601683-((13.30854761263549+((((12.812731329125079/(-2.936220523597532+(((9.241347610554273*((7.950046913066075*(4.977035029505673-15.040102319908382))+(((X*(15.867454019590909-10.349834777448274))/((((-4.65665427761552*X)+(2.3636495435607445-(16.519159257371108-14.764957430359665)))+11.368068240398799)+12.443852494787233))-9.241347610554273)))*15.33178270258287)-5.204479889640826)))-5.10392956502192)*7.262110030454036)/(((((((15.056929454646614-3.3525539439494167)+X)*((13.062105408641468*(8.116094387785683+((10.349834777448274-(0.6096078626388461+15.13830053281379))/15.040102319908382)))-10.093097832323668))+3.2123959557510595)+(15.916783788667441-12.812731329125079))-(X/0.5925416884646353))*(10.349834777448274-(0.6096078626388461+15.13830053281379)))))/6.601381031867938)))*8.116094387785683))*(-4.953691014616371/14.805923942716692))*5.9268358312017675))/13.421743154118065))))+15.723119574615783))+15.436031521027918)*((14.805923942716692+11.449522351166614)*-3.476649814895236))*(-4.953691014616371/-0.43793645483100807)))*14.233997640219265)))))*((X*(((12.812731329125079*8.99166423359029)-5.9268358312017675)/(4.233311936325183-(X/12.443852494787233))))+2.3636495435607445))/-0.43793645483100807))*11.879918249128195))+((-0.2068274218560333-4.783250485754607)/13.78889324385235)))/-3.6608271292951606)-4.772961064662889))-((2.2242974309410233+15.436031521027918)/11.449522351166614)))))-9.241347610554273))+(14.764957430359665-13.259037972570425)))*4.977035029505673))/(13.009353859970656+7.950046913066075)))--4.6536060923034235)*13.421743154118065))*(15.040102319908382/-4.4141972619169625)))+(14.732736544104675-10.07823081379417))*(13.009353859970656+((4.932695073808198*8.416657778742682)+9.241347610554273)))-4.233311936325183)))))/5.10392956502192)+7.262110030454036)))))*(4.977035029505673-(11.449522351166614/(14.747305115661952*0.5925416884646353)))))*4.932695073808198)+((((-1.3791834967753562-9.241347610554273)+(-1.8061621195399065+((((7.64621293207494+6.601381031867938)+9.241347610554273)/8.116094387785683)-((12.625674358885757*14.805923942716692)/5.696066512893307))))+(4.977035029505673*(X*X)))*X))
