,avg_fitness,best_fitness,avg_size,best_individual
0,185304452.10698164,68510.1480760941,7.01116,(-2.0379231170270558*((((0.6894749636049777-6.805164593102642)-9.944173362998024)-Y)-sin(((0.6615241255832309*-3.478319930106493)*2.3666017789396383)))) 
1,1740324.6132829154,68510.1480760941,7.04488,(-2.0379231170270558*((((0.6894749636049777-6.805164593102642)-9.944173362998024)-Y)-sin(((0.6615241255832309*-3.478319930106493)*2.3666017789396383)))) 
2,792068.6092063283,66002.56572196457,8.08842,((16.697429035299127+Y)/0.4727864992383797) 
3,3015590.7538573714,43988.44790491159,9.74184,((Y+X)/0.6894749636049777) 
4,763103.2337633949,23108.445464969373,11.6085,(8.0496450618875+(cos(5.065588993574412)+((((cos((6.401429747469248+-2.0379231170270558))+(cos((cos(8.164688275330988)/(12.0708772854585/6.401429747469248)))+Y))+9.015185230169822)/cos(11.632693856068208))+(((6.069128781584004*(X-6.401429747469248))+16.697429035299127)/7.576208137190527)))) 
5,4566472.697859254,1.7697843190944695e-11,13.94416,((Y+X)+Y)  
